Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1261,WATER QUALITY OF TRIBUTARY STREAMS- SUBANSIRI,SUBANSIRI AT GEREKAMUKH-ASSAM-(B/C BRAH.),ASSAM,14,24,19,8.5,9.9,9.1,6.7,7.6,7.1,50,147,81,0.5,2.7,1.65,0.1,0.2,0.15,NA,NA,NA,0,0,0,1,360,91
2061,WATER QUALITY OF TRIBUTARY STREAMS- KHARSANG,KHARSANG B/C BURIDIHING NEAR KHARSANG,ASSAM,19,25,22,6.8,7.4,7.1,6.5,7.3,7,120,516,229,0.7,2.1,1.25,0.1,0.4,0.18,NA,NA,NA,0,300,100,1,910,424
1422,WATER QUALITY OF TRIBUTARY STREAMS- BURHIDIHING,BURHIDIHING AT MARGHERITA,ASSAM,20,26,23,5.1,9,6.6,6.4,7.4,6.9,301,493,354,0.9,2.2,1.53,0.1,0.6,0.33,NA,NA,NA,0,300,75,1,910,500
2062,WATER QUALITY OF TRIBUTARY STREAMS- BURIDIHING,BURIDIHING NR DULIAJAN AT DOWNSTREAM,ASSAM,21,28,25,5.4,8,6.9,6.1,7.6,7.1,132,860,403,0.7,3,1.75,0.1,0.6,0.25,NA,NA,NA,0,300,75,1,910,500
2230,WATER QUALITY OF TRIBUTARY STREAMS- BURHIDIHING,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),ASSAM,20,29,26,7,7.2,7.1,6.5,7.3,6.9,125,294,235,1.9,7,4.07,0.1,0.3,0.2,NA,NA,NA,0,0,0,1,360,181
2065,WATER QUALITY OF TRIBUTARY STREAMS- PAGLDIA,PAGLDIA NALBARI TOWN- NALBARI,ASSAM,27,35,31,6.6,8.5,7.5,7.6,8.1,7.9,220,260,243,0.4,1.8,0.93,0.1,0.2,0.13,NA,NA,NA,0,360,180,360,4300,2330
1530,WATER QUALITY OF TRIBUTARY STREAMS- DIGBOI,DIGBOI AT LAKHIPATHE-RES.FOREST,ASSAM,13,27,23,3.6,9.2,6.8,6.7,7,6.8,140,187,161,0.4,3.7,2.1,0.1,0.1,0.1,NA,NA,NA,0,300,75,300,1500,860
2063,WATER QUALITY OF TRIBUTARY STREAMS- JAI BHARALI,JAI BHARALI NEAR BISWANATH CHARALI- SONITPUR,ASSAM,12,26,21,7.9,8.6,8.3,7.2,7.4,7.3,76,98,87,0.6,1.4,0.98,0.1,0.1,0.1,NA,NA,NA,0,0,0,300,910,575
2237,WATER QUALITY OF TRIBUTARY STREAMS- KALONG,KALONG AT UPSTREAM OF ANANDARAM DEKIAL PHUKAN BRIDGE- NAGAON,ASSAM,27,33,29,5.5,8,6.7,6.9,7.2,7.1,175,189,181,0.8,3.6,2.33,0.1,0.1,0.1,NA,NA,NA,0,1500,867,910,2200,1703
2059,WATER QUALITY OF TRIBUTARY STREAMS- KOLONG,KOLONG AT MARIGAON,ASSAM,19,32,27,7.3,8.3,7.8,7.1,7.9,7.6,98,110,104,0.6,3.3,2.28,0.2,0.2,0.2,NA,NA,NA,0,730,438,700,3500,1508
2060,WATER QUALITY OF TRIBUTARY STREAMS- MANAS,MANAS AT NH-31 CROSSING- BARPETA- DISTRICT,ASSAM,21,32,28,5.7,8.8,7.4,7,7.9,7.6,350,479,437,0.5,0.9,0.63,0.1,0.1,0.1,NA,NA,NA,0,1500,750,360,15000,4630
2058,WATER QUALITY OF TRIBUTARY STREAMS- DISANG,DISANG AT DILLIGHAT- DIBRUGARH ,ASSAM,14,26,22,5.5,9,7.4,6.3,7.3,6.6,122,223,152,0.8,5.5,2.3,0.1,0.3,0.15,NA,NA,NA,0,360,180,1,910,545
1298,WATER QUALITY OF TRIBUTARY STREAMS- DISANG,DISANG AT GUNDAMGHAT ,ASSAM,16,23,21,5.8,7.2,6.5,6.8,7.3,7,110,256,161,1.2,5,2.67,0.2,0.4,0.3,NA,NA,NA,0,0,0,1,360,220
1258,WATER QUALITY OF TRIBUTARY STREAMS- JHANJI,JHANJI AT N.H.CROSSING JORHAT ,ASSAM,18,26,22,5.8,18,9.3,6.9,7.7,7.3,130,254,165,0.8,1.6,1.1,0.1,0.1,0.1,NA,NA,NA,300,730,423,700,2100,1110
1527,WATER QUALITY OF TRIBUTARY STREAMS- BHOGDOI,BHOGDOI AT JORHAT ,ASSAM,17,25,22,5.4,6.5,5.9,6.8,7.6,7.2,176,221,196,0.8,2.6,1.63,0.1,0.1,0.1,NA,NA,NA,0,360,180,730,1100,913
1531,WATER QUALITY OF TRIBUTARY STREAMS- MORA BHARALI,MORA BHARALI AT TEZPUR ,ASSAM,12,27,22,7.5,9,8.1,7,7.6,7.3,108,246,202,0.9,4,2.15,0.1,0.2,0.13,NA,NA,NA,0,0,0,1,910,638
1423,WATER QUALITY OF TRIBUTARY STREAMS- BORAK,BORAK AT PANCHAGRAM ,ASSAM,13,28,17,6.4,7.9,7.2,7.1,8.1,7.6,145,203,162,0.5,1.3,0.88,0.1,0.1,0.1,NA,NA,NA,0,2000,575,1,2700,940
1528,WATER QUALITY OF TRIBUTARY STREAMS- BHARALU,BHARALU AT GUWAHATI ,ASSAM,22,35,28,NA,NA,NA,7.3,7.7,7.4,750,868,785,2.2,31.5,18.43,0.1,0.1,0.1,NA,NA,NA,1500,24000,9267,2100,110000,40467
1529,WATER QUALITY OF TRIBUTARY STREAMS- DEEPAR BEEL,DEEPAR BEEL,ASSAM,22,32,28,5,10.2,8.1,6.9,7.8,7.3,180,190,186,0.7,8.2,3.15,0.1,0.2,0.13,NA,NA,NA,0,910,547,730,1500,1243
2068,WATER QUALITY OF TRIBUTARY STREAMS- KATHAKAL,UPSTREAM OF KATHAKAL -MATIJURI ,ASSAM,12,28,16,7,8.1,7.5,7,8.1,7.7,180,193,187,0.7,2.5,1.35,0.1,0.1,0.1,NA,NA,NA,0,2600,1025,730,2800,1783
